Discriminator Error: 7.7902984619140625, 0
Discriminator Error: 6.6781721115112305, 1
Discriminator Error: 6.32498025894165, 2
Discriminator Error: 5.229217529296875, 3
Discriminator Error: 5.887114524841309, 4
Discriminator Error: 5.678581237792969, 5
Discriminator Error: 5.342983722686768, 6
Discriminator Error: 6.1262688636779785, 7
Discriminator Error: 5.295548439025879, 8
Discriminator Error: 4.802484512329102, 9
Discriminator Error: 4.588176250457764, 10
Discriminator Error: 5.143089294433594, 11
Discriminator Error: 4.854089736938477, 12
Discriminator Error: 6.564449787139893, 13
Discriminator Error: 5.42708683013916, 14
Discriminator Error: 5.024066925048828, 15
Discriminator Error: 5.2732014656066895, 16
Discriminator Error: 4.923304080963135, 17
Discriminator Error: 5.2755937576293945, 18
Discriminator Error: 5.058504581451416, 19
Discriminator Error: 4.418548583984375, 20
Discriminator Error: 4.497934341430664, 21
Discriminator Error: 4.804773330688477, 22
Discriminator Error: 5.019744873046875, 23
Discriminator Error: 4.50391960144043, 24
Discriminator Error: 4.982683181762695, 25
Discriminator Error: 5.145015239715576, 26
Discriminator Error: 4.489707946777344, 27
Discriminator Error: 4.270291805267334, 28
Discriminator Error: 4.800387382507324, 29
Error Generator,0.0163635766,29
Error Generator,0.02291876712,30
Error Generator,0.02821653436,31
Error Generator,0.02701831402,32
Error Generator,0.02826688762,33
Error Generator,0.02807798261,34
Error Generator,0.02467883841,35
Error Generator,0.02866690592,36
Error Generator,0.01686504728,37
Error Generator,0.01479140488,38
Error Discriminator, 0.05474017319094855, 38
Error Discriminator, 0.035755741625616795, 38
Error Discriminator, 0.02949421339784749, 38
Error Discriminator, 0.03115597300842637, 38
Error Discriminator, 0.021148488790204284, 39
Error Discriminator, 0.022456270937764203, 40
Error Discriminator, 0.017144541289726475, 41
Error Discriminator, 0.022583105953817722, 42
Error Discriminator, 0.03863995191277354, 43
Error Discriminator, 0.01865742261725245, 44
Error Discriminator, 0.026378630851249908, 45
Error Discriminator, 0.015587489679455757, 46
Error Discriminator, 0.018018977084357176, 47
Error Discriminator, 0.02011786317307269, 48
Error Discriminator, 0.03531079877666343, 49
Error Discriminator, 0.02492524804387358, 50
Error Discriminator, 0.018146715105576732, 51
Error Discriminator, 0.013268796516576913, 52
Error Discriminator, 0.017428574135556117, 53
Error Discriminator, 0.016299489834636915, 54
Error Discriminator, 0.01510273616790073, 55
Error Discriminator, 0.016098735792402296, 56
Error Discriminator, 0.015349387946771457, 57
Error Discriminator, 0.01375682711142872, 58
Error Discriminator, 0.015269238393157138, 59
Error Discriminator, 0.017107245080333087, 60
Error Discriminator, 0.029087335342901498, 61
Error Discriminator, 0.017187590772828117, 62
Error Discriminator, 0.013970424473809544, 63
Error Discriminator, 0.014703254287178424, 64
Error Discriminator, 0.012436607036570423, 65
Error Discriminator, 0.013032375024231442, 66
Error Discriminator, 0.03955953796619724, 67
Error Discriminator, 0.018002667692162504, 68
Error Discriminator, 0.019687895798087992, 69
