Generator Error: 7.7902984619140625,0
Generator Error: 6.6781721115112305,1
Generator Error: 6.32498025894165,2
Generator Error: 5.229217529296875,3
Generator Error: 5.887114524841309,4
Generator Error: 5.678581237792969,5
Generator Error: 5.342983722686768,6
Generator Error: 6.1262688636779785,7
Generator Error: 5.295548439025879,8
Generator Error: 4.802484512329102,9
Generator Error: 4.588176250457764,10
Generator Error: 5.143089294433594,11
Generator Error: 4.854089736938477,12
Generator Error: 6.564449787139893,13
Generator Error: 5.42708683013916,14
Generator Error: 5.024066925048828,15
Generator Error: 5.2732014656066895,16
Generator Error: 4.923304080963135,17
Generator Error: 5.2755937576293945,18
Generator Error: 5.058504581451416,19
Generator Error: 4.418548583984375,20
Generator Error: 4.497934341430664,21
Generator Error: 4.804773330688477,22
Generator Error: 5.019744873046875,23
Generator Error: 4.50391960144043,24
Generator Error: 4.982683181762695,25
Error Generator, 3.6074491786956786, 224
Error Generator, 3.6592488062381743, 225
Error Generator, 3.5489380455017088, 226
Error Generator, 3.548711680173874, 227
Error Generator, 3.5726833736896513, 228
Error Generator, 3.6641316270828246, 229
Error Generator, 3.6360151290893556, 230
Error Generator, 3.661939218044281, 231
Error Generator, 3.510281445980072, 232
Error Generator, 3.5412901639938354, 233
Error Generator, 3.5441801142692566, 234
Error Generator, 3.588177754878998, 235
Error Generator, 3.644617353439331, 236
Error Generator, 3.610392171859741, 237
Error Generator, 3.5397581996917724, 238
Error Generator, 3.531122428894043, 239
Error Generator, 3.474199851989746, 240
Error Generator, 3.4465276165008545, 241
Error Generator, 3.532271921157837, 242
Error Generator, 3.5847087917327882, 243
Error Generator, 3.5743489322662354, 244
Error Generator, 3.5947407836914063, 245
Error Generator, 3.5904971942901613, 246
Generator Error, 2.7710232734680176, 247
Generator Error, 3.1703712940216064, 248
Generator Error, 4.467442989349365, 249
Generator Error, 3.476200819015503, 250
Generator Error, 3.0770864486694336, 251
Generator Error, 3.7196855545043945, 252
Generator Error, 2.590949058532715, 253
Generator Error, 3.2963638305664062, 254
Generator Error, 3.011016607284546, 255
Generator Error, 3.6581695079803467, 256
